IDTrack,t,y,x,IDCell
22,4,807.7890485283865,254.59732957473253,38
22,5,809.7230925175083,248.77011917926038,39
22,0,803.7604090577064,287.1313915266618,35
23,4,417.088100424166,660.1473690244183,17
23,3,421.210586115029,660.1207490988872,17
23,7,407.02368394360485,664.1594989349833,16
23,0,412.01112759643917,696.997428288823,16
23,8,407.6812388905658,664.3290237113057,13
23,9,410.135727360827,663.5796453824343,15
23,2,419.5118910182406,665.0585699992304,14
23,6,412.68724554380924,664.6291525539704,16
23,5,417.44645651687904,661.7981593263283,18
23,1,418.18633503502315,670.1084134710516,16
24,9,315.0376186402705,1018.5894944804269,11
24,5,332.23704052780397,1033.6887632212797,15
24,4,339.5388406940063,1036.0814931650893,15
24,6,325.80527354765934,1027.0156044369244,13
24,8,316.8976806840811,1021.1702979188631,10
24,3,352.15607436230005,1042.9904885430176,15
24,7,318.87011287069225,1021.908480322733,13
25,0,37.379069367393456,1241.6485829785404,4
25,4,56.210061689002345,1234.485056370985,5
25,9,71.7932778108269,1228.0025580011898,4
25,6,79.94881658972669,1203.3470726166922,4
25,3,32.174328992824876,1224.9827708388698,4
25,7,86.62320320774701,1212.0109320623394,5
25,8,80.36212330873309,1221.1507918204181,4
25,2,25.899677133781182,1217.1278706452117,4
25,5,68.16186589854377,1213.3878620579292,5
25,1,35.97372340920728,1223.6186519573616,4
26,5,622.3659399962597,1157.2152360343032,30
26,0,574.0935881282375,1186.394778104438,23
26,4,605.2777689264186,1147.6953052391193,29
26,2,580.099663606033,1147.0412634075055,23
26,6,632.231571924206,1169.0232185748598,30
26,9,640.7211528429838,1193.600991131977,27
26,7,637.1387041636622,1175.3934914403226,29
26,8,637.2469007469008,1183.3910705577373,27
26,3,590.4622763701125,1149.180320569902,27
26,1,575.3913958578885,1152.2580120110006,24
27,9,811.7485269360269,973.6299102132435,36
27,1,763.2538531926452,973.0326699265106,33
27,2,756.0152329749104,971.8900089605734,33
27,0,763.591564989693,1006.8692684829238,32
27,7,806.9683177637772,978.0043087841262,39
27,8,805.7276114157178,984.3833122451849,36
28,8,391.0819044985251,1073.1407632743362,14
28,5,403.7502367028683,1062.1522417153997,20
28,3,410.2965811965812,1064.4210256410256,19
28,9,391.3916758544653,1082.3829015067988,14
28,6,398.9141274238227,1064.9452139119728,17
28,4,408.2721139430285,1066.6339330334833,19
28,7,395.6795486600846,1068.64536906441,17
29,7,833.5199299533022,140.8573493440071,40
29,4,836.2804849340866,134.97492937853107,39
29,5,833.5346508793314,127.7880318068373,40
29,8,835.7944146858609,151.8249079343823,37
29,2,837.9037037037036,142.51747243426632,37
29,0,829.7250978375753,175.74357985545748,36
29,6,831.3600564288594,128.20393658471045,39
29,1,838.8237372866747,147.79480549330574,37
29,9,830.4128984432913,157.83404373610082,37
29,3,833.9940391829929,139.34251771571488,39
30,7,615.3231385134039,994.4818146455315,31
30,3,609.3393430243534,993.8180416588007,31
30,1,613.5247151340075,998.7776119402985,28
30,4,608.1955546890232,992.4844349125887,31
30,8,616.8155878597387,986.5322168745703,28
30,0,608.6964291259121,1031.7852973140816,27
30,5,605.8921066276267,1001.087885442401,32
30,2,611.1957992057582,990.352134524696,27
30,9,615.9156885018301,979.6376372586142,28
30,6,612.6809541442943,1003.7510646176634,31
31,6,435.6314525810324,21.157596371882086,19
31,5,443.43735690973745,28.171830094013348,22
31,4,449.54326610279765,24.895846887876814,21
31,7,431.53622423858764,18.820953787718928,19
31,0,452.4860066634936,44.530493415833725,19
31,8,430.92379658970873,17.93345405160706,15
31,3,451.23651430924434,25.807545810170886,21
31,9,432.21702050444566,14.826528760660496,18
31,2,453.5871396670727,25.81206861550954,17
31,1,457.02107061503415,29.53279233105543,19
32,9,831.9146454682605,855.494158833314,38
32,7,825.4815621857191,861.2037657838865,41
32,5,826.4652313063718,865.5092619532538,41
32,4,829.7173992173992,868.8380198380198,40
32,0,842.5665184361683,896.4277376320177,37
32,8,829.9452949818294,856.7082270161602,38
32,2,841.3640998217469,870.8455258467023,38
32,6,828.7688210227273,861.3581123737373,40
32,1,845.8964727439304,875.2656130706978,38
32,3,834.9460062094271,870.8296076771097,40
33,0,81.58510638297872,1060.9307371982563,7
33,1,91.74580584354382,1032.9677976751493,7
